"year","industry","growth_rate"
2010,"Automotive",NULL
2010,"Automotive",0
2010,"Automotive",800
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",600
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",600
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",600
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",700
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",600
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",600
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",600
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",500
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",400
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",700
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",600
2010,"Automotive",0
2010,"Automotive",0
2010,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",900
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",700
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",700
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",800
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",600
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
2011,"Automotive",0
